City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,santa cruz,-17.8,-63.1667,26.7,78,75,7.72,BO,1675177555
210,agadir,30.4202,-9.5982,22.25,25,35,5.08,MA,1675177711
211,kavieng,-2.5744,150.7967,27.78,71,100,2.11,PG,1675177711
212,mayo,38.8876,-76.5119,5.97,87,100,2.57,US,1675177712
213,khatanga,71.9667,102.5,-42.09,100,66,2.3,RU,1675177713
214,salalah,17.0151,54.0924,24.05,57,40,2.06,OM,1675177713
215,kenai,60.5544,-151.2583,-0.51,98,100,1.54,US,1675177714
216,severo-kurilsk,50.6789,156.125,-6.38,66,54,3.95,RU,1675177714
217,kalmunai,7.4167,81.8167,23.73,93,100,8.4,LK,1675177715
218,nishihara,26.1842,127.7558,14.6,72,75,1.03,JP,1675177715
219,boende,-0.2167,20.8667,32.3,44,53,0.95,CD,1675177716
220,tautira,-17.7333,-149.15,26.7,79,31,6.69,PF,1675177716
221,dzhebariki-khaya,62.2167,135.8,-34.95,98,100,1.26,RU,1675177717
222,vila velha,-20.3297,-40.2925,30.97,71,40,5.14,BR,1675177717
223,kaputa,-8.4689,29.6619,25.18,74,6,1.14,ZM,1675177718
224,cooma,-36.2333,149.1333,13.59,97,46,0.46,AU,1675177718
225,mount isa,-20.7333,139.5,23.87,100,94,0.0,AU,1675177617
226,lompoc,34.6391,-120.4579,8.29,74,0,0.89,US,1675177719
227,aktau,43.65,51.2,0.32,53,43,4.46,KZ,1675177719
228,wexford,52.3342,-6.4575,11.18,61,44,4.47,IE,1675177570
229,grand gaube,-20.0064,57.6608,26.88,83,100,3.17,MU,1675177720
230,charyshskoye,51.3978,83.5598,-8.71,88,91,1.93,RU,1675177721
231,kayerkan,69.3497,87.7602,-16.09,93,100,4.26,RU,1675177721
232,nome,64.5011,-165.4064,-7.13,100,100,0.0,US,1675177722
233,norman wells,65.282,-126.8329,-26.56,98,100,3.29,CA,1675177723
234,high level,58.5169,-117.136,-23.37,96,100,1.29,CA,1675177723
235,kefamenanu,-9.4467,124.4781,23.15,95,100,0.86,ID,1675177724
236,torbay,47.6666,-52.7314,1.43,93,75,2.57,CA,1675177559
237,nanortalik,60.1432,-45.2371,-5.89,76,100,0.23,GL,1675177725
238,portland,45.5234,-122.6762,-0.27,73,100,2.06,US,1675177351
239,tuatapere,-46.1333,167.6833,16.46,96,100,0.92,NZ,1675177726
240,souillac,-20.5167,57.5167,26.56,84,100,4.31,MU,1675177726
241,pochutla,15.7432,-96.4661,26.57,47,0,1.86,MX,1675177727
242,pervomayskoye,43.919,46.7102,4.92,67,91,4.85,RU,1675177727
243,grand-lahou,5.1367,-5.0242,29.92,62,90,4.57,CI,1675177729
244,jampur,29.6441,70.5954,15.74,41,8,1.85,PK,1675177729
245,oranjestad,12.524,-70.027,25.66,76,6,7.06,AW,1675177730
246,arlit,18.7369,7.3853,29.43,2,100,0.29,NE,1675177730
247,kalabo,-14.97,22.6814,22.35,79,100,2.63,ZM,1675177731
248,nouadhibou,20.931,-17.0347,18.75,61,78,6.23,MR,1675177731
249,juanjui,-7.1779,-76.7314,28.95,79,40,2.57,PE,1675177732
250,mandalgovi,45.7625,106.2708,-15.63,73,4,1.46,MN,1675177732
